"Season","Name","Team","Age","AVG","OBP","SLG","OPS","AB","H","R","HR","RBI","SB","Off","WAR","playerid"
"1987","Carlton Fisk","CHW","39",".256",".321",".460",".782","454","116","68","23","71","1","-1.0","3.0","1004101"
"1991","Craig Biggio","HOU","25",".295",".358",".374",".731","546","161","79","4","46","19","9.9","3.5","549"
"1982","Ted Simmons","MIL","32",".269",".309",".451",".759","539","145","73","23","97","0","6.7","3.3","1011986"
"2012","Ryan Doumit","MIN","31",".275",".320",".461",".781","484","133","56","18","75","0","0.3","-1.2","2113"
"2017","J.T. Realmuto","MIA","26",".278",".332",".451",".783","532","148","68","17","65","8","6.5","4.4","11739"
"1981","Carlton Fisk","CHW","33",".263",".354",".361",".715","338","89","44","7","45","3","4.3","2.4","1004101"
"2019","Christian Vazquez","BOS","28",".276",".320",".477",".798","482","133","66","23","72","4","-3.0","3.5","9774"
"2012","Matt Wieters","BAL","26",".249",".329",".435",".764","526","131","67","23","83","3","-0.8","4.5","4298"
"2004","Paul Lo Duca","- - -","32",".286",".338",".421",".758","535","153","68","13","80","4","-6.7","2.2","662"
"2006","A.J. Pierzynski","CHW","29",".295",".333",".436",".769","509","150","65","16","64","1","-5.7","2.0","746"
"2006","Ivan Rodriguez","DET","34",".300",".332",".437",".769","547","164","74","13","69","8","-1.5","2.9","1275"
"1989","Craig Biggio","HOU","23",".257",".336",".402",".738","443","114","64","13","60","21","11.1","2.1","549"
"1997","Dan Wilson","SEA","28",".270",".326",".423",".749","508","137","66","15","74","7","-3.4","3.5","1102"
