"Season","Name","Team","Age","AVG","OBP","SLG","OPS","AB","H","R","HR","RBI","SB","Off","WAR","playerid"
"1997","Chili Davis","KCR","37",".279",".386",".509",".896","477","133","71","30","90","6","20.0","2.5","1003041"
"1989","Harold Baines","- - -","30",".309",".395",".465",".860","505","156","73","16","72","0","25.2","2.5","1000434"
"2003","Dmitri Young","DET","29",".297",".372",".537",".909","562","167","78","29","85","2","25.8","1.9","505"
"1982","Andre Thornton","CLE","32",".273",".386",".484",".870","589","161","90","32","116","6","26.2","3.2","1013037"
"1998","Matt Stairs","OAK","30",".294",".370",".511",".880","523","154","88","26","106","8","21.9","3.1","1384"
"1996","Chili Davis","CAL","36",".292",".387",".496",".884","530","155","73","28","95","5","17.5","2.4","1003041"
"2019","Austin Meadows","TBR","24",".291",".364",".558",".922","530","154","83","33","89","12","31.3","4.1","15672"
"2009","Hideki Matsui","NYY","35",".274",".367",".509",".876","456","125","62","28","90","0","18.2","2.4","1659"
"2005","David Dellucci","TEX","31",".251",".367",".513",".879","435","109","97","29","65","5","20.1","2.2","1402"
"2015","David Ortiz","BOS","39",".273",".360",".553",".913","528","144","73","37","108","0","22.3","2.9","745"
"1994","Edgar Martinez","SEA","31",".285",".387",".482",".869","326","93","47","13","51","6","12.7","3.0","1086"
"1980","Steve Kemp","DET","25",".293",".376",".474",".851","508","149","88","21","101","5","22.3","3.7","1006827"
"2019","Jorge Soler","KCR","27",".265",".354",".569",".922","589","156","95","48","117","3","30.4","3.6","14221"
"1987","Darrell Evans","DET","40",".257",".379",".501",".880","499","128","90","34","99","6","23.9","4.6","1003864"
