Season,Name,Team,Position,Age,AVG,OBP,SLG,OPS,AB,H,R,HR,RBI,SB,Off,WAR,playerid
2010,Casey McGehee,MIL,Third Base,27,0.285,0.337,0.464,0.801,610,174,70,23,104,1,9.2,2.8,6086
1974,Don Money,MIL,Third Base,27,0.283,0.346,0.415,0.761,629,178,85,15,65,19,17,4.9,1009052
1979,Bill Madlock,,Third Base,28,0.298,0.355,0.438,0.792,560,167,85,14,85,32,12.7,2.1,1007957
2008,Casey Blake,,Third Base,34,0.274,0.345,0.463,0.808,536,147,71,21,81,3,6.6,2.3,719
1973,Dave Roberts,SDP,Third Base,22,0.286,0.31,0.472,0.782,479,137,56,21,64,11,12.1,2.8,1011032
1998,Edgardo Alfonzo,NYM,Third Base,24,0.278,0.355,0.427,0.782,557,155,94,17,78,8,9.8,3,859
2001,Shane Halter,DET,Third Base,31,0.284,0.344,0.467,0.811,450,128,53,12,65,3,8.7,2.9,468
1999,Greg Norton,CHW,Third Base,26,0.255,0.358,0.424,0.782,436,111,62,16,50,4,-0.4,-0.5,1388
1988,Vance Law,CHC,Third Base,31,0.293,0.358,0.412,0.77,556,163,73,11,78,1,10.6,2,1007409
2018,Johan Camargo,ATL,Third Base,24,0.272,0.349,0.457,0.806,464,126,63,19,76,1,7.1,3.3,14950
