Season,Name,Team,Position,Age,AVG,OBP,SLG,OPS,AB,H,R,HR,RBI,SB,Off,WAR,playerid
2007,Miguel Tejada,BAL,Shortstop,33,0.296,0.357,0.442,0.799,514,152,72,18,81,2,-1,1.9,941
1998,Jay Bell,ARI,Shortstop,32,0.251,0.353,0.432,0.785,549,138,79,20,67,3,3,3.4,48
2001,Shane Halter,DET,Shortstop,31,0.284,0.344,0.467,0.811,450,128,53,12,65,3,8.7,2.9,468
1990,Jody Reed,BOS,Shortstop,27,0.289,0.371,0.39,0.76,598,173,70,5,51,4,8.1,2.8,1010771
2006,Jimmy Rollins,PHI,Shortstop,27,0.277,0.334,0.478,0.811,689,191,127,25,83,36,7.6,4.3,971
1996,Omar Vizquel,CLE,Shortstop,29,0.297,0.362,0.417,0.779,542,161,98,9,64,35,1.4,3.2,411
2007,Michael Young,TEX,Shortstop,30,0.315,0.366,0.418,0.783,639,201,80,9,94,13,2.7,2.1,1286
2003,Rafael Furcal,ATL,Shortstop,25,0.292,0.352,0.443,0.794,664,194,130,15,61,25,17.7,4,88
1979,Garry Templeton,STL,Shortstop,23,0.314,0.331,0.458,0.79,672,211,105,9,62,26,12.3,4.5,1012909
1996,Jose Valentin,MIL,Shortstop,26,0.259,0.336,0.475,0.811,552,143,90,24,95,17,-1.8,4,256
2016,Asdrubal Cabrera,NYM,Shortstop,30,0.28,0.336,0.474,0.81,521,146,65,23,62,5,10.1,3.6,4962
1978,Dave Concepcion,CIN,Shortstop,30,0.301,0.357,0.405,0.763,565,170,75,6,67,23,11.3,3.8,1002494
2009,Miguel Tejada,HOU,Shortstop,35,0.313,0.34,0.455,0.795,635,199,83,14,86,5,2.3,1.8,941
2013,Jed Lowrie,OAK,Shortstop,29,0.29,0.344,0.446,0.791,603,175,80,15,75,1,13.6,3.4,4418
1991,Ozzie Smith,STL,Shortstop,36,0.285,0.38,0.367,0.747,550,157,96,3,50,35,17,5.1,1012186
1980,Roy Smalley,MIN,Shortstop,27,0.278,0.359,0.405,0.765,486,135,64,12,63,3,4.6,3.7,1012078
1976,Toby Harrah,TEX,Shortstop,27,0.26,0.36,0.377,0.737,584,152,64,15,67,8,14.5,4,1005384
2016,Elvis Andrus,TEX,Shortstop,27,0.302,0.362,0.439,0.8,506,153,75,8,69,24,7.9,2.3,8709
2003,Miguel Tejada,OAK,Shortstop,29,0.278,0.336,0.472,0.807,636,177,98,27,106,10,13.2,3.4,941
2011,J.J. Hardy,BAL,Shortstop,28,0.269,0.31,0.491,0.801,527,142,76,30,80,0,8.9,4.5,3797
2008,Derek Jeter,NYY,Shortstop,34,0.3,0.363,0.408,0.771,596,179,88,11,69,11,4.6,3.4,826
2011,Asdrubal Cabrera,CLE,Shortstop,25,0.273,0.332,0.46,0.792,604,165,87,25,92,17,17,3.7,4962
2008,Cristian Guzman,WSN,Shortstop,30,0.316,0.345,0.44,0.786,579,183,77,9,55,6,2.9,2.8,728
2017,Elvis Andrus,TEX,Shortstop,28,0.297,0.337,0.471,0.808,643,191,100,20,88,25,8.8,3.9,8709
2014,Jhonny Peralta,STL,Shortstop,32,0.263,0.336,0.443,0.779,560,147,61,21,75,3,10.6,4.6,1738
2000,Omar Vizquel,CLE,Shortstop,33,0.287,0.377,0.375,0.753,613,176,101,7,66,22,-4.2,2.5,411
1977,Garry Templeton,STL,Shortstop,21,0.322,0.336,0.449,0.786,621,200,94,8,79,28,2.6,2.9,1012909
1969,Denis Menke,HOU,Shortstop,28,0.269,0.369,0.387,0.756,553,149,72,10,90,2,9.8,2.6,1008766
1996,Walt Weiss,COL,Shortstop,32,0.282,0.381,0.375,0.756,517,146,89,8,48,10,-12.4,0.5,1013748
2000,Mike Bordick,None,Shortstop,34,0.285,0.341,0.443,0.783,583,166,88,20,80,9,0.2,2,129
1970,Bert Campaneris,OAK,Shortstop,28,0.279,0.321,0.448,0.769,603,168,97,22,64,42,15.6,5.6,1001868
2008,Jimmy Rollins,PHI,Shortstop,29,0.277,0.349,0.437,0.786,556,154,76,11,59,47,11,5,971
1986,Scott Fletcher,TEX,Shortstop,27,0.3,0.36,0.4,0.76,530,159,82,3,50,12,3.3,4.1,1004155
2008,Yunel Escobar,ATL,Shortstop,25,0.288,0.366,0.401,0.766,514,148,71,10,60,2,0.2,2.8,4191
2004,Jack Wilson,PIT,Shortstop,26,0.308,0.335,0.459,0.794,652,201,82,11,59,8,6.2,4.3,1017
2007,Brendan Harris,TBD,Shortstop,26,0.286,0.343,0.434,0.777,521,149,72,12,59,4,5.9,2.4,2178
2018,Jurickson Profar,TEX,Shortstop,25,0.254,0.335,0.458,0.793,524,133,82,20,77,10,8.8,2.8,10815
2014,Starlin Castro,CHC,Shortstop,24,0.292,0.339,0.438,0.777,528,154,58,14,65,4,6.4,3.2,4579
